Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/users?page=2,9,0,69,85.18915277757817,61.03908300065086,208.69737499924668,1030.0,1.0228140972183348,0.0,69,71,77,82,210,210,210,210,210,210,210
,Aggregated,9,0,69,85.18915277757817,61.03908300065086,208.69737499924668,1030.0,1.0228140972183348,0.0,69,71,77,82,210,210,210,210,210,210,210
